charity_name,city,state,zip
FOCUS FORWARD PROJECT INC,NEW YORK,NY,10008-2892
MAN UP,PROVIDENCE,RI,02903-1819
HEART-TO-HEART COMIENZOS EAST INC,HULL,MA,02045-0384
GREENBURGER CENTER FOR SOCIAL AND CRIMINAL JUSTICE,NEW YORK,NY,10003-4301
TRANSITION PROFESSIONALS,HACKENSACK,NJ,07601-2726
MADE TRANSITIONAL SERVICES INC,SPRING VALLEY,NY,10977-3005
COLUMBIA STREET PROJECT,BANGOR,ME,04402-0514
SUNNY CENTER FOUNDATION USA INC,NEW YORK,NY,10013-3428
MINOR ADJUSTMENTS GROUP INC,VINELAND,NJ,08360-6375
CONNECTICUT SUPPORT TREATMENT AND REENTRY INC,FAIRFIELD,CT,06824-6072
HARTFORD COMMUNITY RESTORATIVE JUSTICE CENTER,WHITE RIV JCT,VT,05001-7139
OPIOD TREATMENT ASSOCIATION OF RI,CRANSTON,RI,02910-3225
HOPE PRISON MINISTRY INC,BOSTON,MA,02108-4802
NYC TOGETHER INC,BROOKLYN,NY,11201-1064
UPPER RUNG CENTER,SOMERSET,NJ,08873-7346
BOLD START CORPORATION,NEW YORK,NY,10016-2418
WOMEN IN CORRECTION INC,AMITYVILLE,NY,11701-1512
NEW HOUR FOR WOMEN AND CHILDREN LI INC,BRENTWOOD,NY,11717-5324
UNLOK INC,LONG BEACH,NY,11561-2836
CENTER OF GRACE INC,PATERSON,NJ,07514-1962
GLT PRISON PREVENTION MINISTRY & FUTURE HOPE APPRENTICESHIP & RECOV,BOSTON,MA,02124-1705
BROOKLYN CONVENTION COMMITTEE INC,BAYSIDE,NY,11361-1419
CREATIVE RESTORATIONS INC,DEPEW,NY,14043-1308
NATIONAL LAW ENFORCEMENT OFFICERS MEMORIAL GOLF CLASSIC,BROCKPORT,NY,14420-1579
FRIENDS OF THE COURT INC,AUBURN,NY,13021-9665
LITERACY FOR INCARCERATED TEENS,BROOKLYN,NY,11215-0300
PRISONER OF HOPE MINISTRIES INC,LAKEHURST,NJ,08733-1102
NEW BEGINNINGS REENTRY SERVICES INC,ROXBURY,MA,02119-7000
SECOND CHANCE QUEST,IRVINGTON,NJ,07111-1109
SOFT LANDING INC,NORWICH,CT,06360-5539
CONTINUOUS CARE SERVICES,GOSHEN,NY,10924-6417
RIKERS DEBATE PROJECT INC,NEW YORK,NY,10128-5177
GENERATION NOW COMMUNITY DEVELOPMENT CENTER INC,BROOKLYN,NY,11236-5524
REENTRY ESSENTIALS INC,BROOKLYN,NY,11231-5113
MUSLIM PRISONER PROJECT,CANTON,NY,13617-0171
THRIVE FOR LIFE PRISON PROJECT INC,NEW YORK,NY,10011-6302
PAROLE PREPARATION PROJECT INC,NEW YORK,NY,10011-3628
UNLOCK TOMORROW,FARMINGTON,CT,06032-1803
ALLIANCE OF FAMILIES FOR JUSTICE,NEW YORK,NY,10027-3811
THEATRE ARTS AND OPPORTUNITIES FOUNDATION INC,NEWTOWN,CT,06470-2126
NEIGHBOR FUND INC,WILLIMANTIC,CT,06226-0737
ONCIDIUM,BURLINGTON,NJ,08016-1306
